Date,Crude Oil,Brent Oil,Natural Gas,Gold,Silver,Copper
2021-02-01,49.22,56.35,2.850,1876.00,29.441,3.5155
2021-01-29,48.26,55.88,2.564,1864.00,26.937,3.5245
2021-01-28,48.40,55.53,2.664,1855.80,25.945,3.5455
2021-01-27,48.82,55.81,2.760,1864.00,25.389,3.5470
2021-01-26,48.58,55.91,2.656,1870.00,25.538,3.6095
2021-01-25,48.79,55.88,2.602,1874.00,25.484,3.6140
2021-01-22,48.44,55.41,2.446,1874.60,25.556,3.6085
2021-01-21,49.02,56.10,2.491,1886.50,25.854,3.6305
2021-01-20,49.08,56.08,2.539,1887.50,25.766,3.6220
2021-01-19,49.15,55.90,2.546,1862.00,25.320,3.6130
2021-01-18,52.36,54.75,2.637,1836.60,25.045,3.6168
2021-01-17,52.20,,2.640,1809.75,24.253,3.5760
2021-01-15,49.09,55.10,2.737,1853.50,24.866,3.5920
2021-01-14,49.64,56.42,2.666,1876.30,25.802,3.6525
2021-01-13,49.44,56.06,2.727,1879.80,25.572,3.6085
2021-01-12,49.11,56.58,2.753,1869.50,25.435,3.5960
2021-01-11,48.44,55.66,2.747,1876.70,25.284,3.5610
2021-01-08,48.24,55.99,2.700,1861.30,24.637,3.6725
2021-01-07,47.48,54.38,2.729,1939.90,27.261,3.6915
2021-01-06,47.21,54.30,2.716,1936.30,27.042,3.6475
2021-01-05,47.32,53.60,2.702,1982.00,27.640,3.6355
2021-01-04,46.24,51.09,2.581,1973.80,27.364,3.5560
2020-12-31,46.65,51.80,2.539,1921.10,26.412,3.5185
2020-12-30,46.73,51.34,2.422,1918.90,26.573,3.5485
2020-12-29,46.67,51.09,2.467,1907.60,26.183,3.5500
2020-12-28,46.40,50.86,2.305,1904.50,26.510,3.5685
2020-12-24,46.79,51.29,2.518,1906.90,25.867,3.5595
2020-12-23,46.69,51.20,2.608,1901.10,25.885,3.5545
2020-12-22,45.85,50.08,2.780,1894.20,25.500,3.5225
2020-12-21,46.49,50.91,2.705,1906.00,26.340,3.5780
2020-12-18,47.31,52.26,2.700,1911.80,26.001,3.6265
2020-12-17,46.97,51.50,2.636,1913.10,26.150,3.5925
2020-12-16,46.35,51.08,2.677,1882.10,25.018,3.5545
2020-12-15,46.12,50.76,2.682,1879.30,24.614,3.5445
2020-12-14,45.71,50.29,2.682,1856.30,24.022,3.5350
2020-12-11,45.32,49.97,2.591,1867.10,24.067,3.5300
2020-12-10,45.50,50.25,2.553,1860.90,24.073,3.5700
2020-12-09,44.91,48.86,2.442,1861.70,23.963,3.5165
2020-12-08,44.94,48.84,2.399,1899.80,24.711,3.5070
2020-12-07,44.84,48.79,2.406,1891.30,24.776,3.5240
2020-12-04,44.76,49.25,2.575,1865.60,24.232,3.5255
2020-12-03,44.08,48.71,2.507,1865.10,24.120,3.4915
